# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠹⠋⠷⠖⠾⠤⠋⠷⠴⠾⠌⠖⠤⠴⠼ | <math><mfrac><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>6</mn><mo stretchy="false">)</mo><mo>−</mo><mi>f</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo></mrow><mrow><mn>6</mn><mo>−</mo><mn>0</mn></mrow></mfrac></math> | <math><mfrac><mrow><mi>f</mi><mrow><mo>(</mo><mn>6</mn><mo>)</mo></mrow><mo>-</mo><mi>f</mi><mrow><mo>(</mo><mn>4</mn><mo>)</mo></mrow></mrow><mrow><mn>6</mn><mo>-</mo><mn>4</mn></mrow></mfrac></math>
✗ | ⠼⠆⠢⠀⠐⠅⠱⠀⠙⠀⠐⠅⠱⠀⠼⠂⠆⠢ | <math><mrow><mn>25</mn><mo>≤</mo><mi>d</mi><mo>≤</mo><mn>125</mn></mrow></math> | <math><mn>25</mn><mo>&lt;</mo><mi>x</mi><mi>d</mi><mo>&lt;</mo><mi>x</mi><mn>125</mn></math>
✗ | ⠼⠖⠲⠨⠂⠔ | <math><mn>64.19</mn></math> | <math><mn>6.2</mn><mo>&gt;</mo><mn>8</mn></math>
✗ | ⠹⠂⠦⠌⠂⠂⠼⠸⠲ | <math><mrow><mfrac><mn>18</mn><mn>11</mn></mfrac><mtext>.</mtext></mrow></math> | <math><mfrac><mn>17</mn><mn>11</mn></mfrac><mo>.</mo></math>
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠼⠆⠷⠂⠨⠆⠢⠾⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo stretchy="false">(</mo><mn>1.25</mn><msup><mo stretchy="false">)</mo><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><mn>2</mn><msup><mrow><mo>(</mo><mn>1</mn><mo>)</mo><mn>5</mn><mo>)</mo></mrow><mi>t</mi></msup></math>
✓ | ⠓⠷⠭⠾⠀⠨⠅ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>h</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo></math>
✗ | ⠈⠷⠒⠠⠀⠢⠈⠾⠠ | <math><mrow><mo stretchy="false">[</mo><mn>3</mn><mo>,</mo><mn>5</mn><mo stretchy="false">]</mo><mtext>,</mtext></mrow></math> | <math><msup><mrow><mo>[</mo><msup><mi>c</mi><mo>′</mo></msup><mn>5</mn><mo>]</mo></mrow><mo>′</mo></msup></math>
✓ | ⠇⠝⠀⠷⠁⠘⠝⠐⠾⠀⠨⠅⠀⠝⠇⠝⠀⠷⠁⠾⠸⠲ | <math><mrow><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><msup><mi>a</mi><mi>n</mi></msup><mo stretchy="false">)</mo><mo>=</mo><mi>n</mi><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>ln</mi><mrow><mo>(</mo><msup><mi>a</mi><mi>n</mi></msup><mo>)</mo></mrow><mo>=</mo><mi>n</mi><mi>ln</mi><mrow><mo>(</mo><mi>a</mi><mo>)</mo></mrow><mo>.</mo></math>
✗ | ⠭⠀⠨⠅⠀⠑⠘⠂⠴⠴⠠ | <math><mrow><mi>x</mi><mo>=</mo><msup><mi>e</mi><mn>100</mn></msup><mtext>,</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><msup><mi>e</mi><mn>100</mn></msup></math>
✗ | ⠑⠘⠂⠴⠅⠀⠨⠅⠀⠹⠲⠨⠆⠔⠦⠌⠆⠨⠲⠶⠢⠼⠸⠲ | <math><mrow><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mn>10</mn><mi>k</mi></mrow></msup><mo>=</mo><mfrac><mn>4.298</mn><mn>2.475</mn></mfrac><mtext>.</mtext></mrow></math> | <math><msup><mi>e</mi><mrow><mn>10</mn><mi>k</mi></mrow></msup><mo>=</mo><mfrac><mrow><mi>d</mi><mo>)</mo><mn>87</mn></mrow><mrow><mn>2</mn><mo>[</mo><mn>65</mn></mrow></mfrac><mo>.</mo></math>
✗ | ⠹⠢⠌⠂⠬⠆⠑⠘⠤⠂⠴⠅⠐⠼⠀⠨⠅⠀⠼⠲ | <math><mrow><mfrac><mn>5</mn><mrow><mn>1</mn><mo>+</mo><mn>2</mn><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>10</mn><mi>k</mi></mrow></msup></mrow></mfrac><mo>=</mo><mn>4</mn></mrow></math> | <math><mfrac><mn>5</mn><mrow><mn>1</mn><mo>+</mo><mn>2</mn><msup><mi>e</mi><mrow><mo>-</mo><mn>10</mn><mi>k</mi></mrow></msup></mrow></mfrac><mo>=</mo><mn>2</mn></math>
✗ | ⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠀⠨⠅⠀⠼⠴⠀⣍⠭⠀⠨⠅⠀⠤⠼⠆⠠⠀⠼⠂ | <math><mtable><mtr><mtd columnalign="right"><mrow><mo stretchy="false">(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mrow><mn>−2</mn><mo>,</mo><mn>1</mn></mrow></mtd></mtr></mtable></math> | <math><mrow><mo>(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo>)</mo></mrow><mrow><mo>(</mo><mn>1</mn><mo>-</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>4</mn><mtext> or </mtext><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn><mo>,</mo><mn>1</mn></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠐⠬⠭⠬⠖⠌⠭⠘⠆⠐⠤⠂⠴⠭⠬⠆⠲⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>+</mo><mn>6</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>24</mn></mrow></mfrac></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>+</mo><mn>6</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>2</mn><mi>d</mi></mrow></mfrac></math>
✓ | ⠞⠁⠝⠀⠷⠤⠞⠾⠀⠿ | <math><mrow><mtext>tan</mtext><mo stretchy="false">(</mo><mo>−</mo><mi>t</mi><mo stretchy="false">)</mo><mo>?</mo></mrow></math> | <math><mi>tan</mi><mrow><mo>(</mo><mo>-</mo><mi>t</mi><mo>)</mo></mrow><mo>?</mo></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠜⠢⠬⠆⠭⠻⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msqrt><mrow><mn>5</mn><mo>+</mo><mn>2</mn><mi>x</mi></mrow></msqrt><mo>.</mo></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msqrt><mrow><mn>5</mn><mo>+</mo><mn>2</mn><mi>x</mi></mrow></msqrt><mo>.</mo></math>
✗ | ⠼⠲⠭⠬⠒⠽⠀⠨⠅⠀⠼⠆⠒⠀⣍⠆⠭⠤⠽⠀⠨⠅⠀⠤⠼⠂ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><mn>4</mn><mi>x</mi><mo>+</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>23</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mn>2</mn><mi>x</mi><mo>−</mo><mi>y</mi><mo>=</mo><mn>−1</mn></mrow></mtd></mtr></mtable></math> | <math><mn>2</mn><mi>x</mi><mo>+</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>23</mn><mtext> or </mtext><mn>2</mn><mi>x</mi><mo>-</mo><mi>y</mi><mo>=</mo><mo>-</mo><mn>1</mn></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠘⠒⠐⠤⠒ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mn>3</mn></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>3</mn></msup><mo>-</mo><mn>3</mn></math>
✓ | ⠃⠘⠆⠀⠨⠅⠀⠉⠘⠆⠐⠤⠁⠘⠆⠸⠲ | <math><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>−</mo><msup><mi>a</mi><mn>2</mn></msup><mo>.</mo></mrow></math> | <math><msup><mi>b</mi><mn>2</mn></msup><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>-</mo><msup><mi>a</mi><mn>2</mn></msup><mo>.</mo></math>
✗ | ⠼⠢⠭⠤⠽⠀⠨⠅⠀⠼⠂⠀⣍⠤⠂⠴⠭⠬⠆⠽⠀⠨⠅⠀⠤⠼⠆ | <math><mtable columnalign="right"><mtr columnalign="right"><mtd columnalign="right"><mrow><mn>5</mn><mi>x</mi><mo>−</mo><mi>y</mi><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr columnalign="right"><mtd columnalign="right"><mrow><mo>−</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>2</mn><mi>y</mi><mo>=</mo><mo>−</mo><mn>2</mn></mrow></mtd></mtr></mtable></math> | <math><mn>5</mn><mi>x</mi><mo>-</mo><mi>y</mi><mo>=</mo><mn>1</mn><mtext> or </mtext><mo>-</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>2</mn><mi>y</mi><mo>=</mo><mo>-</mo><mn>2</mn></math>
✗ | ⠼⠂⠶ | <math><mn>17</mn></math> | <math><mn>16</mn></math>
✓ | ⠠⠽⠀⠨⠅ | <math><mrow><mi>Y</mi><mo>=</mo></mrow></math> | <math><mi>Y</mi><mo>=</mo></math>
✓ | ⠧⠴⠸⠲ | <math><mrow><msub><mi>v</mi><mn>0</mn></msub><mo>.</mo></mrow></math> | <math><msub><mi>v</mi><mn>0</mn></msub><mo>.</mo></math>
✓ | ⠽⠀⠨⠅⠀⠤⠹⠂⠌⠆⠼⠛⠞⠘⠆⠐⠬⠷⠧⠴⠎⠊⠝⠀⠨⠹⠾⠞⠬⠓⠸⠲ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>g</mi><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><mrow><mo>(</mo><mrow><msub><mi>v</mi><mn>0</mn></msub><mi>sin</mi><mspace width="0.3em"></mspace><mi>θ</mi></mrow><mo>)</mo></mrow><mi>t</mi><mo>+</mo><mi>h</mi><mo>.</mo></mrow></math> | <math><mi>y</mi><mo>=</mo><mo>-</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>g</mi><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><mrow><mo>(</mo><msub><mi>v</mi><mn>0</mn></msub><mi>sin</mi><mi>&theta;</mi><mo>)</mo></mrow><mi>t</mi><mo>+</mo><mi>h</mi><mo>.</mo></math>
✓ | ⠁⠀⠨⠅⠀⠼⠆⠠⠀⠃⠀⠨⠅⠀⠼⠢ | <math><mrow><mi>a</mi><mo>=</mo><mn>2</mn><mo>,</mo><mi>b</mi><mo>=</mo><mn>5</mn></mrow></math> | <math><mi>a</mi><mo>=</mo><mn>2</mn><mo>,</mo><mi>b</mi><mo>=</mo><mn>5</mn></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠷⠭⠤⠲⠾⠘⠆⠠⠀⠭⠀⠨⠂⠱⠀⠼⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mn>4</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup><mo>,</mo><mspace width="0.5em"></mspace><mi>x</mi><mo>≥</mo><mn>4</mn></mrow></math> | <math><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mi>d</mi><mo>)</mo></mrow><mn>2</mn></msup><mo>,</mo><mi>x</mi><mo>&gt;</mo><mi>x</mi><mn>2</mn></math>
✗ | ⠰⠁⠠⠀⠰⠃⠠⠀⠰⠉ | <math><mrow><mi>a</mi><mo>,</mo><mi>b</mi><mo>,</mo><mi>c</mi></mrow></math> | <math><munder><mrow/><mi>a</mi></munder><mspace width="thickmathspace"/><munder><mrow/><mi>b</mi></munder><mspace width="thickmathspace"/><munder><mrow/><mi>c</mi></munder></math>
✗ | ⠷⠒⠭⠽⠾⠷⠆⠭⠘⠆⠐⠽⠘⠆⠐⠬⠂⠢⠭⠽⠬⠶⠾ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mi>x</mi><mi>y</mi><mo stretchy="false">)</mo><mo>(</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><msup><mi>y</mi><mn>2</mn></msup><mo>+</mo><mn>15</mn><mi>x</mi><mi>y</mi><mo>+</mo><mn>7</mn><mo>)</mo></mrow></math> | <math><mrow><mo>(</mo><mn>3</mn><mi>x</mi><mi>y</mi><mo>)</mo></mrow><mrow><mo>(</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><msup><mi>y</mi><mn>2</mn></msup><mo>+</mo><mn>15</mn><mi>x</mi><mi>y</mi><mo>+</mo><mn>6</mn><mo>)</mo></mrow></math>
✗ | ⠰⠟⠠ | <math><mrow><mi>q</mi><mo>,</mo></mrow></math> | <math><munder><mrow/><mi>q</mi></munder></math>
✗ | ⠤⠼⠂⠲ | <math><mn>−14</mn></math> | <math><mo>-</mo><mn>1</mn><mo>.</mo></math>
✗ | ⠭⠘⠆⠐⠬⠽⠘⠆⠀⠐⠅⠀⠼⠂⠀⣍⠽⠘⠆⠀⠐⠅⠀⠭ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mn>1</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mi>x</mi></mrow></mtd></mtr></mtable></math> | <math><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mn>1</mn><mtext> or </mtext><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mi>x</mi></math>
✓ | ⠓⠷⠭⠾ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>h</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠇⠕⠛⠰⠽⠀⠷⠂⠆⠾ | <math><mrow><msub><mtext>log</mtext><mi>y</mi></msub><mrow><mo>(</mo><mn>12</mn><mo>)</mo></mrow></mrow></math> | <math><msub><mi>log</mi><mi>y</mi></msub><mrow><mo>(</mo><mn>12</mn><mo>)</mo></mrow></math>
✗ | ⠹⠒⠌⠢⠭⠤⠆⠼⠬⠹⠲⠌⠲⠭⠤⠂⠼ | <math><mrow><mfrac><mn>3</mn><mrow><mn>5</mn><mi>x</mi><mn>−2</mn></mrow></mfrac><mo>+</mo><mfrac><mn>4</mn><mrow><mn>4</mn><mi>x</mi><mn>−1</mn></mrow></mfrac></mrow></math> | <math><mfrac><mn>3</mn><mrow><mn>5</mn><mi>x</mi><mo>-</mo><mn>2</mn></mrow></mfrac><mo>+</mo><mfrac><mi>d</mi><mrow><mn>2</mn><mi>x</mi><mo>-</mo><mn>1</mn></mrow></mfrac></math>
✗ | ⠹⠨⠏⠌⠦⠼ | <math><mfrac><mi>π</mi><mn>8</mn></mfrac></math> | <math><mfrac><mi>&pi;</mi><mn>7</mn></mfrac></math>
✓ | ⠎⠊⠝⠀⠷⠹⠆⠨⠏⠌⠒⠼⠾⠀⠨⠅⠀⠹⠜⠒⠻⠌⠆⠼ | <math><mrow><mtext>sin</mtext><mrow><mo>(</mo><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac></mrow></math> | <math><mi>sin</mi><mrow><mo>(</mo><mfrac><mrow><mn>2</mn><mi>&pi;</mi></mrow><mn>3</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac></math>
✗ | ⠹⠭⠘⠆⠐⠌⠂⠖⠼⠬⠹⠽⠘⠆⠐⠌⠔⠼⠀⠨⠅⠀⠼⠂ | <math><mrow><mfrac><msup><mi>x</mi><mn>2</mn></msup><mn>16</mn></mfrac><mo>+</mo><mfrac><msup><mi>y</mi><mn>2</mn></msup><mn>9</mn></mfrac><mo>=</mo><mn>1</mn></mrow></math> | <math><mfrac><msup><mi>x</mi><mn>2</mn></msup><mn>16</mn></mfrac><mo>+</mo><mfrac><msup><mi>y</mi><mn>2</mn></msup><mn>8</mn></mfrac><mo>=</mo><mn>1</mn></math>
✓ | ⠨⠹⠀⠨⠅⠀⠞⠁⠝⠘⠤⠂⠀⠷⠹⠏⠌⠁⠼⠾⠸⠲ | <math><mrow><mi>θ</mi><mo>=</mo><msup><mi>tan</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup><mrow><mo>(</mo><mfrac><mi>p</mi><mi>a</mi></mfrac><mo>)</mo></mrow><mo>.</mo></mrow></math> | <math><mi>&theta;</mi><mo>=</mo><msup><mi>tan</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup><mrow><mo>(</mo><mfrac><mi>p</mi><mi>a</mi></mfrac><mo>)</mo></mrow><mo>.</mo></math>
✓ | ⠨⠷⠎⠊⠝⠀⠷⠭⠾⠠⠀⠉⠕⠎⠀⠷⠭⠾⠠⠀⠞⠁⠝⠀⠷⠭⠾⠨⠾ | <math><mrow><mo>{</mo><mrow><mi>sin</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo><mi>cos</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo><mi>tan</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mo>}</mo></mrow></math> | <math><mrow><mo>{</mo><mi>sin</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>,</mo><mi>cos</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>,</mo><mi>tan</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>}</mo></mrow></math>
✗ | ⠹⠆⠨⠏⠌⠒⠼⠀⠊⠎⠀⠝⠕⠞⠀⠊⠝⠀⠈⠷⠤⠹⠨⠏⠌⠆⠼⠠⠀⠹⠨⠏⠌⠆⠼⠈⠾⠠ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext> is not in </mtext><mrow><mo>[</mo><mrow><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi>π</mi><mn>2</mn></mfrac></mrow><mo>]</mo></mrow><mo>,</mo></mrow></math> | <math><mfrac><mrow><mn>2</mn><mi>&pi;</mi></mrow><mn>3</mn></mfrac><mtext> is not in </mtext><mrow><mo>[</mo><mo>-</mo><mfrac><mi>&pi;</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi>&pi;</mi><mn>2</mn></mfrac><mo>]</mo></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠹⠨⠏⠌⠂⠆⠼⠾⠤⠎⠊⠝⠀⠷⠹⠶⠨⠏⠌⠂⠆⠼⠾ | <math><mrow><mi>sin</mi><mrow><mo>(</mo><mfrac><mi>π</mi><mn>12</mn></mfrac><mo>)</mo></mrow><mo>−</mo><mi>sin</mi><mrow><mo>(</mo><mfrac><mrow><mn>7</mn><mi>π</mi></mrow><mn>12</mn></mfrac><mo>)</mo></mrow></mrow></math> | <math><mi>sin</mi><mrow><mo>(</mo><mfrac><mi>&pi;</mi><mn>12</mn></mfrac><mo>)</mo></mrow><mo>-</mo><mi>sin</mi><mrow><mo>(</mo><mfrac><mrow><mn>6</mn><mi>&pi;</mi></mrow><mn>12</mn></mfrac><mo>)</mo></mrow></math>
✓ | ⠷⠴⠠⠀⠤⠒⠾⠸⠲ | <math><mrow><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>−3</mn></mrow><mo>)</mo></mrow><mo>.</mo></mrow></math> | <math><mrow><mo>(</mo><mn>0</mn><mo>,</mo><mo>-</mo><mn>3</mn><mo>)</mo></mrow><mo>.</mo></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠋⠷⠖⠴⠾⠠ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>64</mn> <mo>)</mo> </mrow> <mo>′</mo> </msup> </mrow> </math>
✗ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </math>
✗ | ⠏⠷⠆⠾⠠ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>P</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> <mo>′</mo> </msup> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠰⠭⠸⠲ | <math> <mrow> <mi>x</mi> <mo>.</mo> </mrow> </math> | <math> <msup> <mi>x</mi> <mo>′</mo> </msup> </math>
✗ | ⠼⠆⠨⠢ | <math> <mn>2.5</mn> </math> | <math> <mn>2.0</mn> </math>
✗ | ⠤⠹⠂⠌⠜⠒⠻⠼ | <math> <mrow> <mo>-</mo> <mfrac> <mn>1</mn> <msqrt> <mn>3</mn> </msqrt> </mfrac> </mrow> </math> | <math> <mfrac> <mrow> <mo>-</mo> <mn>91</mn> </mrow> <msqrt> <mn>2</mn> </msqrt> </mfrac> </math>
✗ | ⠎⠊⠝⠘⠆⠀⠷⠨⠹⠾⠸⠲ | <math> <mrow> <mrow> <msup> <mi>sin</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <msup> <mi>sin</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠼⠂⠸⠲ | <math> <mrow> <mn>1</mn> <mo>.</mo> </mrow> </math> | <math> <mn>1</mn> </math>
✗ | ⠎⠑⠉⠀⠷⠹⠒⠨⠏⠌⠲⠼⠾ | <math> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>4</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mn>93</mn> <mo>⁢</mo> <mi>π</mi> </mrow> <mn>4</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math>
