# Example files (used in generateExamples):
# example_braille_file = RustTestData/UEB.brls
# example_mathml_file = RustTestData/UEB.mmls
#
# Input files:
# input_braille_file = test_data/UEB
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = UEB
# gen_braille = True
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in UEB braille. The user will provide a python list of strings, where each string is composed of represents math encoded in MathML (e.g., <math><mi>f</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>). Your task is to translate each MathML expression into valid UEB braille using only Unicode braille characters. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., '⠋⠷⠹⠂⠌⠆⠼⠾')It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate grade 1 indicators ⠰, grade 1 word indicators ⠰⠰, and grade 1 passage indicators ⠰⠰⠰ when appropriate. These are very common at the start of the translation.Do not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 300 items. Usage info: prompt=25358, candidates=15377, total=158959, time=86263ms, TPS=5609.871886583859.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜ | ⠰⠋⠷⠰⠭⠾
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>+</mo><mn>6</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>24</mn></mrow></mfrac></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠷⠭⠔⠼⠃⠐⠖⠭⠐⠖⠼⠋⠨⠌⠭⠔⠼⠃⠐⠤⠼⠁⠚⠭⠐⠖⠼⠃⠙⠾ | ⠰⠋⠷⠰⠭⠾⠀⠨⠅⠀⠹⠰⠭⠘⠆⠬⠰⠭⠬⠼⠖⠌⠰⠭⠘⠆⠤⠼⠂⠚⠰⠭⠬⠼⠆⠲⠼
✗ | <math><mrow><mtext>tan</mtext><mo stretchy="false">(</mo><mo>−</mo><mi>t</mi><mo stretchy="false">)</mo><mo>?</mo></mrow></math> | ⠰⠰⠞⠁⠝⠐⠣⠐⠤⠞⠐⠜⠦ | ⠞⠁⠝⠷⠤⠰⠞⠾⠦
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msqrt><mrow><mn>5</mn><mo>+</mo><mn>2</mn><mi>x</mi></mrow></msqrt><mo>.</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠩⠼⠑⠐⠖⠼⠃⠭⠬⠲ | ⠰⠋⠷⠰⠭⠾⠀⠨⠅⠀⠜⠼⠢⠬⠆⠰⠭⠣⠲
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><mn>4</mn><mi>x</mi><mo>+</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>23</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mn>2</mn><mi>x</mi><mo>−</mo><mi>y</mi><mo>=</mo><mn>−1</mn></mrow></mtd></mtr></mtable></math> | ⠠⠼⠙⠭⠐⠖⠼⠉⠽⠀⠐⠶⠀⠼⠃⠉⠠⠠⠼⠃⠭⠐⠤⠽⠀⠐⠶⠀⠐⠤⠼⠁⠠ | ⠼⠲⠰⠭⠀⠬⠀⠼⠒⠰⠽⠀⠨⠅⠀⠼⠆⠒⠠⠀⠼⠆⠰⠭⠀⠤⠀⠰⠽⠀⠨⠅⠀⠤⠼⠂
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mn>3</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠉⠐⠤⠼⠉ | ⠰⠋⠷⠰⠭⠾⠀⠨⠅⠀⠼⠆⠰⠭⠘⠒⠀⠤⠀⠼⠒
✗ | <math><mrow><msup><mi>b</mi><mn>2</mn></msup><mo>=</mo><msup><mi>c</mi><mn>2</mn></msup><mo>−</mo><msup><mi>a</mi><mn>2</mn></msup><mo>.</mo></mrow></math> | ⠰⠰⠰⠃⠔⠼⠃⠀⠐⠶⠀⠉⠔⠼⠃⠐⠤⠁⠔⠼⠃⠲⠰⠄ | ⠰⠃⠘⠆⠀⠨⠅⠀⠰⠉⠘⠆⠀⠤⠀⠰⠁⠘⠆⠲
✗ | <math><mtable columnalign="right"><mtr columnalign="right"><mtd columnalign="right"><mrow><mn>5</mn><mi>x</mi><mo>−</mo><mi>y</mi><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr columnalign="right"><mtd columnalign="right"><mrow><mo>−</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>2</mn><mi>y</mi><mo>=</mo><mo>−</mo><mn>2</mn></mrow></mtd></mtr></mtable></math> | ⠠⠼⠑⠭⠐⠤⠽⠀⠐⠶⠀⠼⠁⠠⠠⠐⠤⠼⠁⠚⠭⠐⠖⠼⠃⠽⠀⠐⠶⠀⠐⠤⠼⠃⠠ | ⠼⠢⠰⠭⠀⠤⠀⠰⠽⠀⠨⠅⠀⠼⠂⠠⠀⠤⠼⠂⠚⠰⠭⠀⠬⠀⠼⠆⠰⠽⠀⠨⠅⠀⠤⠼⠆
✗ | <math><mn>17</mn></math> | ⠼⠁⠛ | ⠼⠂⠶
✗ | <math><mrow><mi>Y</mi><mo>=</mo></mrow></math> | ⠰⠠⠽⠀⠐⠶ | ⠠⠽⠀⠨⠅
✗ | <math><mrow><msub><mi>v</mi><mn>0</mn></msub><mo>.</mo></mrow></math> | ⠧⠰⠢⠼⠚⠲ | ⠰⠧⠰⠚⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mo>−</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>g</mi><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><mrow><mo>(</mo><mrow><msub><mi>v</mi><mn>0</mn></msub><mi>sin</mi><mspace width="0.3em"></mspace><mi>θ</mi></mrow><mo>)</mo></mrow><mi>t</mi><mo>+</mo><mi>h</mi><mo>.</mo></mrow></math> | ⠰⠰⠰⠽⠀⠐⠶⠀⠐⠤⠼⠁⠌⠃⠰⠛⠞⠔⠼⠃⠐⠖⠐⠣⠧⠢⠼⠚⠎⠊⠝⠀⠨⠹⠐⠜⠞⠐⠖⠓⠲⠰⠄ | ⠰⠽⠀⠨⠅⠀⠤⠹⠼⠂⠌⠼⠆⠼⠰⠛⠰⠞⠘⠆⠀⠬⠀⠷⠰⠧⠰⠚⠀⠎⠊⠝⠀⠨⠹⠾⠰⠞⠀⠬⠀⠰⠓⠲
✗ | <math><mrow><mi>a</mi><mo>=</mo><mn>2</mn><mo>,</mo><mi>b</mi><mo>=</mo><mn>5</mn></mrow></math> | ⠁⠀⠐⠶⠀⠼⠃⠂⠀⠰⠃⠀⠐⠶⠀⠼⠑ | ⠰⠁⠀⠨⠅⠀⠼⠆⠠⠀⠰⠃⠀⠨⠅⠀⠼⠢
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mn>4</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup><mo>,</mo><mspace width="0.5em"></mspace><mi>x</mi><mo>≥</mo><mn>4</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠣⠭⠐⠤⠼⠙⠐⠜⠔⠼⠃⠂⠀⠰⠭⠀⠸⠈⠜⠀⠼⠙ | ⠰⠋⠷⠰⠭⠾⠀⠨⠅⠀⠷⠰⠭⠤⠼⠲⠾⠘⠆⠠⠀⠰⠭⠀⠨⠂⠶⠀⠼⠲
✗ | <math><mrow><mi>a</mi><mo>,</mo><mi>b</mi><mo>,</mo><mi>c</mi></mrow></math> | ⠰⠰⠰⠁⠂⠀⠃⠂⠀⠉⠰⠄ | ⠰⠁⠠⠀⠰⠃⠠⠀⠰⠉
✗ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mi>x</mi><mi>y</mi><mo stretchy="false">)</mo><mo>(</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><msup><mi>y</mi><mn>2</mn></msup><mo>+</mo><mn>15</mn><mi>x</mi><mi>y</mi><mo>+</mo><mn>7</mn><mo>)</mo></mrow></math> | ⠐⠣⠼⠉⠭⠽⠐⠜⠐⠣⠼⠃⠭⠔⠼⠃⠽⠔⠼⠃⠐⠖⠼⠁⠑⠭⠽⠐⠖⠼⠛⠐⠜ | ⠷⠼⠒⠰⠭⠰⠽⠾⠷⠼⠆⠰⠭⠘⠆⠰⠽⠘⠆⠬⠼⠂⠢⠰⠭⠰⠽⠬⠼⠶⠾
✗ | <math><mrow><mi>q</mi><mo>,</mo></mrow></math> | ⠰⠟⠂⠀ | ⠰⠟⠠
✗ | <math><mn>−14</mn></math> | ⠐⠤⠼⠁⠙ | ⠤⠼⠂⠲
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mn>1</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><msup><mi>y</mi><mn>2</mn></msup><mo>&lt;</mo><mi>x</mi></mrow></mtd></mtr></mtable></math> | ⠠⠭⠰⠔⠼⠃⠐⠖⠽⠔⠼⠃⠀⠈⠣⠀⠼⠁⠠⠠⠽⠔⠼⠃⠀⠈⠣⠀⠭⠠ | ⠰⠭⠘⠆⠀⠬⠀⠰⠽⠘⠆⠀⠨⠣⠀⠼⠂⠠⠀⠰⠽⠘⠆⠀⠨⠣⠀⠰⠭
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠓⠐⠣⠭⠐⠜ | ⠰⠓⠷⠰⠭⠾
✗ | <math><mrow><msub><mtext>log</mtext><mi>y</mi></msub><mrow><mo>(</mo><mn>12</mn><mo>)</mo></mrow></mrow></math> | ⠰⠰⠇⠕⠛⠢⠽⠐⠣⠼⠁⠃⠐⠜ | ⠇⠕⠛⠰⠽⠐⠷⠼⠂⠆⠾
✗ | <math><mrow><mfrac><mn>3</mn><mrow><mn>5</mn><mi>x</mi><mn>−2</mn></mrow></mfrac><mo>+</mo><mfrac><mn>4</mn><mrow><mn>4</mn><mi>x</mi><mn>−1</mn></mrow></mfrac></mrow></math> | ⠰⠷⠼⠉⠨⠌⠼⠑⠭⠐⠤⠼⠃⠾⠐⠖⠷⠼⠙⠨⠌⠼⠙⠭⠐⠤⠼⠁⠾ | ⠹⠼⠒⠌⠼⠢⠰⠭⠤⠆⠼⠀⠬⠀⠹⠼⠲⠌⠼⠲⠰⠭⠤⠂⠼
✗ | <math><mfrac><mi>π</mi><mn>8</mn></mfrac></math> | ⠰⠰⠷⠨⠏⠨⠌⠼⠓⠾ | ⠹⠨⠏⠌⠼⠦⠼
✗ | <math><mrow><mtext>sin</mtext><mrow><mo>(</mo><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac></mrow></math> | ⠰⠰⠰⠎⠊⠝⠐⠣⠷⠼⠃⠨⠏⠨⠌⠼⠉⠾⠐⠜⠀⠐⠶⠀⠷⠩⠼⠉⠬⠨⠌⠼⠃⠾⠰⠄ | ⠎⠊⠝⠷⠹⠼⠆⠨⠏⠌⠼⠒⠼⠾⠀⠨⠅⠀⠹⠜⠼⠒⠣⠌⠼⠆⠼
✗ | <math><mrow><mfrac><msup><mi>x</mi><mn>2</mn></msup><mn>16</mn></mfrac><mo>+</mo><mfrac><msup><mi>y</mi><mn>2</mn></msup><mn>9</mn></mfrac><mo>=</mo><mn>1</mn></mrow></math> | ⠰⠰⠷⠭⠔⠼⠃⠨⠌⠼⠁⠋⠾⠐⠖⠷⠽⠔⠼⠃⠨⠌⠼⠊⠾⠀⠐⠶⠀⠼⠁ | ⠹⠰⠭⠘⠆⠌⠼⠂⠖⠼⠀⠬⠀⠹⠰⠽⠘⠆⠌⠼⠔⠼⠀⠨⠅⠀⠼⠂
✗ | <math><mrow><mi>θ</mi><mo>=</mo><msup><mi>tan</mi><mrow><mo>−</mo><mn>1</mn></mrow></msup><mrow><mo>(</mo><mfrac><mi>p</mi><mi>a</mi></mfrac><mo>)</mo></mrow><mo>.</mo></mrow></math> | ⠨⠹⠀⠐⠶⠀⠰⠰⠞⠁⠝⠔⠣⠐⠤⠼⠁⠜⠐⠣⠷⠏⠨⠌⠁⠾⠐⠜⠲ | ⠨⠹⠀⠨⠅⠀⠞⠁⠝⠘⠤⠂⠐⠷⠹⠰⠏⠌⠰⠁⠼⠾⠲
✗ | <math><mrow><mo>{</mo><mrow><mi>sin</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo><mi>cos</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo><mi>tan</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mo>}</mo></mrow></math> | ⠸⠣⠎⠔⠐⠣⠭⠐⠜⠂⠀⠉⠕⠎⠐⠣⠭⠐⠜⠂⠀⠞⠁⠝⠐⠣⠭⠐⠜⠸⠜ | ⠸⠷⠎⠊⠝⠷⠰⠭⠾⠠⠀⠉⠕⠎⠷⠰⠭⠾⠠⠀⠞⠁⠝⠷⠰⠭⠾⠸⠾
✗ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext> is not in </mtext><mrow><mo>[</mo><mrow><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi>π</mi><mn>2</mn></mfrac></mrow><mo>]</mo></mrow><mo>,</mo></mrow></math> | ⠰⠰⠰⠷⠼⠃⠨⠏⠨⠌⠼⠉⠾⠀⠊⠎⠀⠝⠕⠞⠀⠊⠝⠀⠨⠣⠐⠤⠷⠨⠏⠨⠌⠼⠃⠾⠂⠀⠷⠨⠏⠨⠌⠼⠃⠾⠨⠜⠂⠀⠰⠄ | ⠹⠼⠆⠨⠏⠌⠼⠒⠼⠀⠰⠰⠰⠊⠎⠀⠝⠕⠞⠀⠊⠝⠰⠀⠷⠤⠹⠨⠏⠌⠼⠆⠼⠠⠀⠹⠨⠏⠌⠼⠆⠼⠾⠠
✗ | <math><mrow><mi>sin</mi><mrow><mo>(</mo><mfrac><mi>π</mi><mn>12</mn></mfrac><mo>)</mo></mrow><mo>−</mo><mi>sin</mi><mrow><mo>(</mo><mfrac><mrow><mn>7</mn><mi>π</mi></mrow><mn>12</mn></mfrac><mo>)</mo></mrow></mrow></math> | ⠰⠰⠎⠊⠝⠐⠣⠷⠨⠏⠨⠌⠼⠁⠃⠾⠐⠜⠐⠤⠎⠊⠝⠐⠣⠷⠼⠛⠨⠏⠨⠌⠼⠁⠃⠾⠐⠜ | ⠎⠊⠝⠷⠹⠨⠏⠌⠼⠂⠆⠼⠾⠀⠤⠀⠎⠊⠝⠷⠹⠼⠶⠨⠏⠌⠼⠂⠆⠼⠾
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>−3</mn></mrow><mo>)</mo></mrow><mo>.</mo></mrow></math> | ⠐⠣⠼⠚⠂⠀⠐⠤⠼⠉⠐⠜⠲ | ⠷⠼⠚⠠⠀⠤⠼⠒⠾⠲
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>3</mn><mo>,</mo><mn>5</mn></mrow><mo>)</mo></mrow><mo>.</mo></mrow></math> | ⠐⠣⠼⠉⠂⠀⠼⠑⠐⠜⠲ | ⠷⠼⠒⠂⠼⠢⠾⠲
✗ | <math><mrow><mi>A</mi><mo>=</mo><mo>−</mo><mi>B</mi><mo>.</mo></mrow></math> | ⠠⠁⠀⠐⠶⠀⠐⠤⠠⠃⠲ | ⠠⠁⠀⠨⠅⠀⠤⠠⠃⠲
✗ | <math><mrow><mo>±</mo><mfrac><mi>P</mi><mn>2</mn></mfrac></mrow></math> | ⠰⠰⠸⠖⠷⠠⠏⠨⠌⠼⠃⠾ | ⠬⠤⠹⠠⠏⠌⠼⠆⠼
✗ | <math><mrow><mi>csc</mi><mrow><mo>(</mo><mrow><mo>−</mo><mi>x</mi></mrow><mo>)</mo></mrow><mo>=</mo><mi>−csc</mi><mi>x</mi><mo>.</mo></mrow></math> | ⠉⠎⠉⠐⠣⠐⠤⠭⠐⠜⠀⠐⠶⠀⠐⠤⠉⠎⠉⠭⠲ | ⠰⠰⠉⠎⠉⠷⠤⠭⠾⠀⠨⠅⠀⠤⠰⠰⠉⠎⠉⠀⠭⠲
✗ | <math><mrow><mi>B</mi><mo>=</mo><mn>0.4</mn></mrow></math> | ⠰⠠⠃⠀⠐⠶⠀⠼⠚⠲⠙ | ⠠⠃⠀⠨⠅⠀⠼⠴⠲⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>sec</mi><mspace width="0.3em"></mspace><mi>x</mi><mo>?</mo></mrow></math> | ⠰⠰⠰⠽⠀⠐⠶⠀⠎⠑⠉⠀⠭⠦⠰⠄ | ⠽⠀⠨⠅⠀⠰⠰⠎⠑⠉⠀⠭⠦
✗ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mo>−</mo><mfrac><mn>1</mn><mn>4</mn></mfrac><mi>csc</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠁⠌⠙⠰⠉⠎⠉⠐⠣⠭⠐⠜ | ⠋⠷⠭⠾⠀⠨⠅⠀⠤⠹⠼⠂⠌⠼⠲⠼⠰⠰⠉⠎⠉⠷⠭⠾
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo><mn>6</mn></mrow></math> | ⠓⠐⠣⠼⠃⠐⠜⠀⠐⠶⠀⠼⠋ | ⠓⠷⠼⠆⠾⠀⠨⠅⠀⠼⠖
✗ | <math><mfrac><mrow><mo>−</mo><mn>1</mn></mrow><mrow><mn>13</mn><mrow><mo>(</mo><mrow><mn>13</mn><mo>+</mo><mi>h</mi></mrow><mo>)</mo></mrow></mrow></mfrac></math> | ⠰⠷⠐⠤⠼⠁⠨⠌⠼⠁⠉⠐⠣⠼⠁⠉⠐⠖⠓⠐⠜⠾ | ⠹⠤⠼⠂⠌⠼⠂⠒⠷⠼⠂⠒⠬⠓⠾⠼
✗ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><mo>,</mo><mo>−</mo><mn>22</mn><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | ⠐⠣⠼⠉⠂⠀⠐⠤⠼⠃⠃⠐⠜⠂⠀ | ⠷⠼⠒⠂⠀⠤⠼⠆⠆⠾⠂
✗ | <math><mrow><mrow><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn><mi>x</mi></mrow><mrow><mn>6</mn><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></mfrac><mo>,</mo></mrow></math> | ⠰⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠷⠭⠔⠼⠃⠐⠖⠼⠃⠭⠨⠌⠼⠋⠐⠤⠭⠔⠼⠃⠾⠂⠀⠰⠄ | ⠷⠹⠋⠌⠛⠼⠾⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠬⠼⠆⠭⠌⠼⠖⠤⠭⠘⠆⠼⠂
✗ | <math><mrow><mn>3</mn><mi>x</mi><mrow><mo>(</mo><mrow><mi>x</mi><mo>−</mo><mi>b</mi></mrow><mo>)</mo></mrow><mo>=</mo><mi>c</mi></mrow></math> | ⠼⠉⠭⠐⠣⠭⠐⠤⠃⠐⠜⠀⠐⠶⠀⠰⠉ | ⠼⠒⠭⠷⠭⠤⠃⠾⠀⠨⠅⠀⠉
✗ | <math><mrow><mrow><mo>|</mo><mrow><mn>6</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow><mo>|</mo></mrow><mo>=</mo><mn>8</mn></mrow></math> | ⠸⠳⠼⠋⠭⠐⠖⠼⠙⠸⠳⠀⠐⠶⠀⠼⠓ | ⠳⠼⠖⠭⠬⠼⠲⠳⠀⠨⠅⠀⠼⠦
✗ | <math><mrow><mrow><mo>|</mo><mrow><mn>3</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow><mo>|</mo></mrow><mo>=</mo><mn>−9</mn></mrow></math> | ⠸⠳⠼⠉⠭⠐⠖⠼⠙⠸⠳⠀⠐⠶⠀⠐⠤⠼⠊ | ⠳⠼⠒⠭⠬⠼⠲⠳⠀⠨⠅⠀⠤⠼⠔
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><msub><mi>a</mi><mn>31</mn></msub><mo>=</mo><msup><mn>2</mn><mn>31</mn></msup></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mspace width="0.5em"></mspace><mtext>     </mtext><mo>=</mo><mtext>2,147,483,648</mtext></mrow></mtd></mtr></mtable></math> | ⠠⠁⠰⠢⠼⠉⠁⠀⠐⠶⠀⠼⠃⠔⠼⠉⠁⠠⠠⠬⠐⠶⠀⠼⠃⠂⠀⠼⠁⠙⠛⠂⠀⠼⠙⠓⠉⠂⠀⠼⠋⠙⠓⠠ | ⠁⠂⠒⠂⠀⠨⠅⠀⠼⠆⠘⠒⠂⠀⠨⠅⠀⠼⠆⠂⠂⠲⠶⠂⠲⠦⠒⠂⠖⠲⠦
✗ | <math><mrow><mn>100</mn><mo>+</mo><mn>50</mn><mrow><mo>(</mo><mn>3</mn><mo>)</mo></mrow><mo>=</mo><mn>250</mn></mrow></math> | ⠼⠁⠚⠚⠐⠖⠼⠑⠚⠐⠣⠼⠉⠐⠜⠀⠐⠶⠀⠼⠃⠑⠚ | ⠼⠂⠴⠴⠬⠼⠢⠴⠷⠼⠒⠾⠀⠨⠅⠀⠼⠆⠢⠴
✗ | <math><mrow><mi>y</mi><mo>=</mo><mn>2.25</mn><msup><mrow><mo>(</mo><mi>e</mi><mo>)</mo></mrow><mrow><mo>−</mo><mn>2</mn><mi>t</mi></mrow></msup></mrow></math> | ⠰⠽⠀⠐⠶⠀⠼⠃⠲⠃⠑⠐⠣⠑⠐⠜⠔⠣⠐⠤⠼⠃⠞⠜ | ⠽⠀⠨⠅⠀⠼⠆⠲⠆⠢⠷⠑⠾⠘⠤⠆⠞
✗ | <math><mrow><mo stretchy="false">(</mo><mn>13</mn><mo>,</mo><mn>0.005</mn><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠼⠁⠉⠂⠀⠼⠚⠲⠚⠚⠑⠐⠜ | ⠷⠼⠂⠒⠂⠀⠼⠴⠲⠴⠴⠢⠾
✗ | <math><mrow><mn>2.1314</mn><mspace width="0.5em"></mspace><mo>×</mo><mspace width="0.5em"></mspace><msup><mn>10</mn><mn>−6</mn></msup></mrow></math> | ⠼⠃⠲⠁⠉⠁⠙⠀⠐⠦⠀⠼⠁⠚⠔⠣⠐⠤⠼⠋⠜ | ⠼⠆⠲⠂⠒⠂⠲⠀⠡⠀⠼⠂⠴⠘⠤⠖
✗ | <math><mrow><mrow><mo>(</mo><mrow><mn>3</mn><mo>,</mo><mn>0</mn></mrow><mo>)</mo></mrow><mo>,</mo></mrow></math> | ⠐⠣⠼⠉⠂⠀⠼⠚⠐⠜⠂⠀ | ⠷⠼⠒⠂⠼⠴⠾⠂
✗ | <math><mrow><mi>tan</mi><mrow><mo>(</mo><mrow><mo>−</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>12</mn></mfrac></mrow><mo>)</mo></mrow></mrow></math> | ⠰⠰⠞⠁⠝⠐⠣⠐⠤⠷⠼⠉⠨⠏⠨⠌⠼⠁⠃⠾⠐⠜ | ⠰⠰⠞⠁⠝⠷⠤⠹⠼⠒⠨⠏⠌⠼⠂⠆⠼⠾
✗ | <math><mn>2012</mn></math> | ⠼⠃⠚⠁⠃ | ⠼⠆⠴⠂⠆
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><msup><mi>x</mi><mn>5</mn></msup><mo>−</mo><mn>4</mn><msup><mi>x</mi><mn>4</mn></msup><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠔⠼⠑⠐⠤⠼⠙⠭⠔⠼⠙⠐⠖⠼⠃⠭⠔⠼⠃⠐⠖⠼⠁ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠘⠢⠤⠼⠲⠭⠘⠲⠬⠼⠆⠭⠘⠆⠬⠼⠂
✗ | <math><mrow><mo>(</mo><mn>0</mn><mo>,</mo><msub><mi>a</mi><mn>0</mn></msub><mo>)</mo><mo>.</mo></mrow></math> | ⠐⠣⠼⠚⠂⠀⠁⠰⠢⠼⠚⠐⠜⠲ | ⠷⠼⠴⠂⠀⠁⠂⠴⠾⠲
✗ | <math><mrow><mi>y</mi><mi>-</mi></mrow></math> | ⠽⠐⠤ | ⠽⠤
✗ | <math><mrow><mi>t</mi><mo stretchy="false">(</mo><mi>d</mi><mo stretchy="false">)</mo><mo>.</mo></mrow></math> | ⠞⠐⠣⠙⠐⠜⠲ | ⠞⠷⠙⠾⠲
✗ | <math><msup><mi>k</mi><mn>15</mn></msup></math> | ⠅⠰⠔⠼⠁⠑ | ⠅⠘⠂⠢
✗ | <math><msup><mi>t</mi><mn>35</mn></msup></math> | ⠞⠰⠔⠼⠉⠑ | ⠞⠘⠒⠢
✗ | <math><mrow><mn>17</mn><msup><mi>m</mi><mn>2</mn></msup><msqrt><mi>m</mi></msqrt></mrow></math> | ⠼⠁⠛⠍⠔⠼⠃⠩⠍⠬ | ⠼⠂⠶⠍⠘⠆⠜⠍⠜
